Iteration,Method,Swaps,Time taken
33,QuickSort,8429476,0.553869
,Sequential,999825,1481.57
,Binary,12,0.218295
,,,
32,QuickSort,4737586,0.210658
,Sequential,499886,366596
,Binary,12,0.106188
,,,
31,QuickSort,3508010,0.15712
,Sequential,399914,234342
,Binary,12,0.082792
,,,
30,QuickSort,2608690,0.103649
,Sequential,299932,131663
,Binary,12,0.061671
,,,
29,QuickSort,2446759,0.087559
,Sequential,249955,91.4433
,Binary,13,0.051834
,,,
28,QuickSort,1823388,0.062813
,Sequential,199971,58.8085
,Binary,13,0.042026
,,,
27,QuickSort,1087976,0.065431
,Sequential,149860,33.0113
,Binary,10,0.024183
,,,
26,QuickSort,898228,0.0487
,Sequential,124877,22.9178
,Binary,10,0.020043
,,,
25,QuickSort,813214,0.038881
,Sequential,99901,14.6807
,Binary,10,0.016161
,,,
24,QuickSort,527047,0.023793
,Sequential,74923,8.26894
,Binary,10,0.011991
,,,
23,QuickSort,359426,0.013879
,Sequential,49943,3.65381
,Binary,10,0.007981
,,,
22,QuickSort,289814,0.010364
,Sequential,39948,2.41214
,Binary,10,0.006241
,,,
21,QuickSort,203980,0.007325
,Sequential,29968,1.31268
,Binary,10,0.004705
,,,
20,QuickSort,172944,0.005795
,Sequential,24979,0.956638
,Binary,11,0.004175
,,,
19,QuickSort,144312,0.004916
,Sequential,19970,0.624814
,Binary,10,0.003245
,,,
18,QuickSort,102787,0.00347
,Sequential,14982,0.354285
,Binary,11,0.002471
,,,
17,QuickSort,50351,0.002941
,Sequential,9894,0.154084
,Binary,6,0.001078
,,,
16,QuickSort,37137,0.001869
,Sequential,7436,0.086662
,Binary,6,0.00081
,,,
15,QuickSort,22173,0.001131
,Sequential,4953,0.037791
,Binary,7,0.000537
,,,
14,QuickSort,14132,0.000674
,Sequential,2974,0.013384
,Binary,7,0.00032
,,,
13,QuickSort,9281,0.000374
,Sequential,1979,0.006389
,Binary,7,0.000214
,,,
12,QuickSort,6285,0.000253
,Sequential,1484,0.0035
,Binary,7,0.000167
,,,
11,QuickSort,5834,0.000217
,Sequential,1242,0.002435
,Binary,7,0.000146
,,,
10,QuickSort,5089,0.000157
,Sequential,992,0.00153
,Binary,7,0.000112
,,,
9,QuickSort,4030,0.000116
,Sequential,743,0.000915
,Binary,7,8.3e-05
,,,
8,QuickSort,2615,7.3e-05
,Sequential,497,0.000412
,Binary,8,5.5e-05
,,,
7,QuickSort,1509,4.8e-05
,Sequential,297,0.000163
,Binary,8,3.4e-05
,,,
6,QuickSort,800,2.8e-05
,Sequential,197,8.4e-05
,Binary,7,2.4e-05
,,,
5,QuickSort,409,1.7e-05
,Sequential,98,2.6e-05
,Binary,6,4.9e-05
,,,
4,QuickSort,264,1.2e-05
,Sequential,72,1.5e-05
,Binary,5,8E-06
,,,
3,QuickSort,106,9E-06
,Sequential,48,9E-06
,Binary,5,6E-06
,,,
2,QuickSort,114,7E-06
,Sequential,25,5E-06
,Binary,4,4E-06
,,,
1,QuickSort,14,4E-06
,Sequential,8,3E-06
,Binary,3,2E-06
